2	7	7	6	4	10
2	14	5	4	1	3
3	6	4	9	7	10
1	2	10	6	7	4
1	5	5	4	9	3
39	46	6	6	3	1
38	5	8	4	7	3
42	11	6	8	4	2
50	19	7	1	4	6
43	44	10	2	9	5
24	7	5	2	4	7
44	34	3	2	2	6
4	28	8	7	6	2
18	17	1	10	7	3
4	36	10	6	2	7
21	38	10	7	10	10
22	8	3	1	1	5
3	49	6	8	7	10
4	3	5	8	3	8
13	7	1	9	8	9
47	47	5	1	7	9
37	10	9	1	7	2
48	18	1	6	9	2
5	37	3	1	1	3
2	13	7	7	3	9
2	12	4	6	7	3
18	42	5	3	5	8
1	26	9	6	6	6
31	2	1	4	6	8
16	37	1	7	1	4
6	38	6	6	1	6
26	42	5	5	2	10
10	25	2	6	10	9
14	20	9	2	2	2
24	45	9	5	7	9
25	9	4	4	10	10
26	20	6	2	10	5
18	25	2	2	4	1
42	38	7	9	7	8
13	46	2	2	1	10
48	1	10	8	3	4
44	31	1	4	2	8
31	39	4	9	4	5
27	26	2	8	7	5
6	29	7	8	7	7
50	29	5	1	1	1
21	23	9	8	1	2
23	29	5	2	6	5
15	16	7	9	4	9
50	47	4	2	4	7
33	19	5	5	7	5
16	15	2	7	10	5
36	17	8	2	3	1
42	1	10	2	1	7
25	23	3	6	5	2
15	38	10	9	6	8
43	45	6	9	2	6
18	12	3	6	5	3
36	36	3	10	4	1
49	24	8	4	5	7
37	49	2	2	10	4
29	50	3	4	6	4
34	49	7	5	5	1
50	31	9	4	9	1
9	24	2	6	6	10
7	27	3	2	7	10
37	19	5	5	6	4
39	5	6	6	6	4
14	17	2	4	4	8
23	6	5	1	4	2
39	36	7	2	8	9
30	22	3	6	8	3
10	35	8	8	4	7
18	25	9	6	3	5
6	9	10	1	5	5
21	44	4	1	1	1
7	31	6	1	10	5
17	14	8	1	2	9
10	8	2	9	5	5
19	9	6	3	6	10
39	35	9	4	8	1
30	11	4	10	10	2
47	19	8	2	5	7
39	1	8	1	4	4
19	15	2	9	6	6
26	11	7	5	4	2
11	41	6	8	5	6
20	9	6	6	9	3
12	24	7	8	1	6
31	14	9	6	8	9
12	27	7	8	9	9
18	13	4	3	3	6
24	4	2	9	9	8
10	24	2	1	4	7
17	2	10	6	7	6
16	29	5	4	6	8
32	44	5	1	3	5
9	49	4	4	7	1
26	37	2	8	5	4
2	43	10	9	1	7
5	15	9	3	4	5
